Company Name,Title,Description,Location,Started On,Finished On
Meta,Software Engineer,"Software Architecture and Engineering Leadership. Overall coordination, system design, and execution for an LLM-based prototype system that supports continuous sensing experiences with vision understanding, language understanding, eye tracking, object referencing, EMG-detected gestures, and more. I aligned the execution across a multi-disciplinary team, set up and drove the software engineering process, and was hands-on with the development of the system.","Redmond, Washington, United States",Feb 2023,
Magnit,Software Engineer @ Meta - Reality Labs Research,,"Redmond, Washington, United States",Nov 2022,Feb 2023
Amazon,"Senior Principal Engineer, Alexa Artificial Intelligence","Provided technical leadership across Alexa. Initiated and delivered Alexa’s multi-skill experiences. Designed and delivered the Alexa Conversations Description Language (ACDL) and related developer-facing tooling. Designed and championed Alexa Schema as the shared ontology across all of Alexa. Initiated a re-architecture of Alexa to support natural, multi-modal interactions (ongoing). Led Alexa’s 180+ community of Principal and Distinguished engineers and scientists.",Greater Seattle Area,Mar 2019,Jun 2022
Microsoft,Partner Software Architect,"Oversaw Cortana's overall architecture, ensured technology alignment across the product. Led the design and implementation of the next generation interaction management engine. Oversaw the protocol and implementation for the Invoke Speaker, the Cortana-Alexa integration, and Cortana in Skype. Led initiatives to support user-centric experiences such as a user-centric (vs device-centric) notification service and single user profile across Microsoft’s products.",Greater Seattle Area,May 2016,Jan 2019
Facebook,Software Engineer,"Designed the language understanding platform that processed every post and comment on Facebook to recognize recommendation/direction requests, congratulation messages, and others. Built the language annotation experience. Prototyped a digital friend.","Menlo Park, CA and Seattle, WA",Jan 2015,May 2016
Microsoft,Principal Software Architect,"Prototyped, together with researchers, the cloud-based experience that became Cortana. Co-founded the Cortana initiative. Architected and coordinated the technical design across teams for the set of services that powered the Cortana experience on phones. Contributed to growing the Cortana cloud organization from a single employee (me) to hundreds. Coordinated Cortana’s cloud services design across multiple teams of thousands. Designed and oversaw the technical execution on key systems such as the Reactor distributed stream processing engine (processed billions of events per day), Personal Data Platform, frontend service, conversational understanding, and more. Delivered the architecture of the voice-based search experience for Xbox + Kinect. Software engineering work on the first version of Bing’s runtime orchestration engine. Highlight: Awarded third “gold star” which was Microsoft’s recognition for high achievement and impact.","Bellevue, WA",Dec 2011,Dec 2014
Microsoft,Principal Software Engineer,"Prototyped cloud-based infrastructure for big data, compute-intensive workloads for high-performance scenarios using the dryad dataflow computational model (more general version of map-reduce). Invented and prototyped a NoSQL “active” store to support the reactive/stream processing and actor-based computational models. Engineering work on the first version of Bing's runtime orchestration engine. Semantic search prototype for Bing. Highlight: Awarded second “Gold Star” and ranked as “top performer” for the prototyping work.","Redmond, Washington, United States",2008,Nov 2011
Microsoft,Principal Software Architect,"Worked on technologies, services, and tools to help scientists and researchers be more productive and efficient. Architected, prototyped, and led a team of 20 that implemented Zentity (a graph store to manage an organization’s research output). Technical lead for External Research’s “Cloud Computing for Science” vision, implementation, and deployment. Program management of the Microsoft-Intel joined Universal Parallel Computing Research Centers initiative. Design and development of various plugins for Office for researchers (released as open source). Leading collaborations with scientists worldwide. Highlight: Awarded “Gold Star” and ranked as “top performer” for my impact.",,2006,2008
Microsoft,Program Manager,"Editor of two key Web Services (WS-*) specifications on behalf of Microsoft. Design and prototyping work on “Oslo”, a declarative, data-oriented programming language.",,Sep 2005,2006
University of Newcastle,Chief Software Architect and Principal Research Associate,"Research in the areas of service-oriented, distributed, high-performance computing with an emphasis on Internet-scale architectures. The focal point was the articulation of architectural principles for Internet-scale computing and how they could be applied using Web Services technologies in service of eScience applications. Architecture and design of the North-East Regional eScience Center’s research projects. Standardization work in the Web Services and Grid Computing organizations.",,Jan 2003,Sep 2005
Greek Army Forces,Private,Fulfillment of the military service duty (awarded a distinction of honor).,,Dec 2001,Jan 2003
Hewlett-Packard,Senior Software Engineer,"Co-investigator in an R&D team in Transactions for Web Services. Principal role in the research, design, and implementation of the XML Transaction Service (XTS) the prototype on which the HP-WTS 1.0 product was based.",,Jan 2001,Oct 2001
University of Newcastle,Research Associate,"Post-doctoral research in parallel, high-performance computing using clusters of workstations and object-oriented, visual programming languages for parallel computing.",,2000,2001
